,Type,ST,STNAME,COUNTY/METRO,Total households (2012-2016),Renter households (2012-2016),% of total households that are renters (2012-2016),Minimum wage,Estimated mean renter wage,SSI monthly payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI ,Estimated renter median income,Rent affordable at renter median income,Rent affordable at 30% of AMI,Rent affordable with full-time job paying min wage,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
COUNTY,4,AL,Alabama,Marengo County,8149,2466,30,7.25,11.45,750,483,498,606,881,1067,48000,14400,17972,449,360,377,596,225,19320,19920,24240,35240,42680,9.29,9.58,11.65,16.94,20.52,51,53,64,93,113,32,33,41,59,72
COUNTY,4,AL,Alabama,Marion County,12486,2934,23,7.25,8.67,750,453,456,606,804,953,43900,13170,18779,469,329,377,451,225,18120,18240,24240,32160,38120,8.71,8.77,11.65,15.46,18.33,48,48,64,85,101,40,40,54,71,85
COUNTY,4,AL,Alabama,Marshall County,34461,10119,29,7.25,9.71,750,468,471,623,845,849,52700,15810,24069,602,395,377,505,225,18720,18840,24920,33800,33960,9,9.06,11.98,16.25,16.33,50,50,66,90,90,37,37,49,67,67
COUNTY,4,AL,Alabama,Mobile County,154261,52495,34,7.25,12.89,750,679,683,840,1102,1276,59800,17940,26255,656,449,377,670,225,27160,27320,33600,44080,51040,13.06,13.13,16.15,21.19,24.54,72,72,89,117,135,41,41,50,66,76
COUNTY,4,AL,Alabama,Monroe County,8316,3216,39,7.25,7.25,750,483,528,606,774,941,42000,12600,9979,249,315,377,377,225,19320,21120,24240,30960,37640,9.29,10.15,11.65,14.88,18.1,51,56,64,82,100,51,56,64,82,100
COUNTY,4,AL,Alabama,Montgomery County,90281,37250,41,7.25,12.92,750,588,691,829,1055,1451,62900,18870,28905,723,472,377,672,225,23520,27640,33160,42200,58040,11.31,13.29,15.94,20.29,27.9,62,73,88,112,154,35,41,49,63,86
COUNTY,4,AL,Alabama,Morgan County,46164,13447,29,7.25,12.77,750,443,523,669,873,926,58700,17610,28604,715,440,377,664,225,17720,20920,26760,34920,37040,8.52,10.06,12.87,16.79,17.81,47,55,71,93,98,27,32,40,53,56
COUNTY,4,AL,Alabama,Perry County,3198,853,27,7.25,7.36,750,513,528,606,854,857,32000,9600,12751,319,240,377,383,225,20520,21120,24240,34160,34280,9.87,10.15,11.65,16.42,16.48,54,56,64,91,91,54,55,63,89,90
COUNTY,4,AL,Alabama,Pickens County,7618,2077,27,7.25,7.77,750,451,456,606,822,825,44100,13230,15145,379,331,377,404,225,18040,18240,24240,32880,33000,8.67,8.77,11.65,15.81,15.87,48,48,64,87,88,45,45,60,81,82
COUNTY,4,AL,Alabama,Pike County,12802,5210,41,7.25,9.93,750,502,505,606,823,825,49200,14760,17885,447,369,377,516,225,20080,20200,24240,32920,33000,9.65,9.71,11.65,15.83,15.87,53,54,64,87,88,39,39,47,64,64
COUNTY,4,AL,Alabama,Randolph County,8691,2519,29,7.25,9.28,750,452,491,621,887,978,49100,14730,22816,570,368,377,483,225,18080,19640,24840,35480,39120,8.69,9.44,11.94,17.06,18.81,48,52,66,94,104,37,41,51,74,81
COUNTY,4,AL,Alabama,Russell County,22333,9230,41,7.25,13.43,750,621,685,823,1142,1450,56000,16800,29982,750,420,377,698,225,24840,27400,32920,45680,58000,11.94,13.17,15.83,21.96,27.88,66,73,87,121,154,36,39,47,65,83
COUNTY,4,AL,Alabama,St. Clair County,31832,6023,19,7.25,10.41,750,692,768,882,1176,1315,71000,21300,32897,822,533,377,541,225,27680,30720,35280,47040,52600,13.31,14.77,16.96,22.62,25.29,73,81,94,125,140,51,57,65,87,97
COUNTY,4,AL,Alabama,Shelby County,75942,15718,21,7.25,14.85,750,692,768,882,1176,1315,71000,21300,43439,1086,533,377,772,225,27680,30720,35280,47040,52600,13.31,14.77,16.96,22.62,25.29,73,81,94,125,140,36,40,46,61,68
COUNTY,4,AL,Alabama,Sumter County,4878,1653,34,7.25,11.78,750,538,541,720,903,981,37500,11250,14151,354,281,377,612,225,21520,21640,28800,36120,39240,10.35,10.4,13.85,17.37,18.87,57,57,76,96,104,35,35,47,59,64
COUNTY,4,AL,Alabama,Talladega County,31461,8743,28,7.25,13.09,750,471,474,630,855,878,48400,14520,22081,552,363,377,680,225,18840,18960,25200,34200,35120,9.06,9.12,12.12,16.44,16.88,50,50,67,91,93,28,28,37,50,52
COUNTY,4,AL,Alabama,Tallapoosa County,16338,4767,29,7.25,7.95,750,513,526,606,857,974,52100,15630,20268,507,391,377,413,225,20520,21040,24240,34280,38960,9.87,10.12,11.65,16.48,18.73,54,56,64,91,103,50,51,59,83,94
COUNTY,4,AL,Alabama,Tuscaloosa County,70440,26047,37,7.25,11.04,750,599,660,805,1034,1096,61500,18450,27357,684,461,377,574,225,23960,26400,32200,41360,43840,11.52,12.69,15.48,19.88,21.08,64,70,85,110,116,42,46,56,72,76
COUNTY,4,AL,Alabama,Walker County,25194,6422,25,7.25,9.6,750,502,505,655,828,979,51700,15510,20854,521,388,377,499,225,20080,20200,26200,33120,39160,9.65,9.71,12.6,15.92,18.83,53,54,69,88,104,40,40,52,66,78
COUNTY,4,AL,Alabama,Washington County,6113,998,16,7.25,25.75,750,497,497,624,785,882,50600,15180,31352,784,380,377,1339,225,19880,19880,24960,31400,35280,9.56,9.56,12,15.1,16.96,53,53,66,83,94,15,15,19,23,26
COUNTY,4,AL,Alabama,Wilcox County,3792,1416,37,7.25,12.76,750,483,528,606,854,857,34500,10350,14477,362,259,377,664,225,19320,21120,24240,34160,34280,9.29,10.15,11.65,16.42,16.48,51,56,64,91,91,29,32,37,51,52
COUNTY,4,AL,Alabama,Winston County,9436,2278,24,7.25,10.67,750,453,456,606,881,1009,43700,13110,22368,559,328,377,555,225,18120,18240,24240,35240,40360,8.71,8.77,11.65,16.94,19.4,48,48,64,93,107,33,33,44,63,73
STATE,1,AR,Arkansas,,1141480,392028,34,8.5,13.05,750,522,571,720,976,1142,56038,16811,28415,710,420,442,679,225,20876,22835,28794,39040,45687,10.04,10.98,13.84,18.77,21.96,47,52,65,88,103,31,34,42,58,67
NONMETRO,2,AR,Arkansas,,447121,135996,30,8.5,10.99,750,483,501,645,867,991,47621,14286,23478,587,357,442,572,225,19328,20030,25817,34674,39628,9.29,9.63,12.41,16.67,19.05,44,45,58,78,90,34,35,45,61,69
METRO,3,AR,Arkansas,Fayetteville-Springdale-Rogers HMFA,177760,69424,39,8.5,16.96,750,524,558,723,1039,1273,65400,19620,35809,895,491,442,882,225,20960,22320,28920,41560,50920,10.08,10.73,13.9,19.98,24.48,47,50,65,94,115,24,25,33,47,58
METRO,3,AR,Arkansas,Fort Smith HMFA,73985,25896,35,8.5,12.01,750,486,524,697,944,1124,52900,15870,26017,650,397,442,624,225,19440,20960,27880,37760,44960,9.35,10.08,13.4,18.15,21.62,44,47,63,85,102,31,34,45,60,72
METRO,3,AR,Arkansas,Grant County HMFA,6869,1405,20,8.5,11.26,750,470,566,650,938,1050,60100,18030,30696,767,451,442,586,225,18800,22640,26000,37520,42000,9.04,10.88,12.5,18.04,20.19,43,51,59,85,95,32,39,44,64,72
METRO,3,AR,Arkansas,Hot Springs MSA,40353,13585,34,8.5,9.94,750,531,580,771,967,1123,52700,15810,24708,618,395,442,517,225,21240,23200,30840,38680,44920,10.21,11.15,14.83,18.6,21.6,48,52,70,88,102,41,45,60,75,87
METRO,3,AR,Arkansas,Jonesboro HMFA,39042,16041,41,8.5,10.87,750,493,613,743,1046,1047,56200,16860,27063,677,422,442,565,225,19720,24520,29720,41840,41880,9.48,11.79,14.29,20.12,20.13,45,55,67,95,95,35,43,53,74,74
METRO,3,AR,Arkansas,Little River County HMFA,5191,1445,28,8.5,16.44,750,450,476,633,804,918,49800,14940,21376,534,374,442,855,225,18000,19040,25320,32160,36720,8.65,9.15,12.17,15.46,17.65,41,43,57,73,83,21,22,30,38,43
METRO,3,AR,Arkansas,Little Rock-North Little Rock-Conway HMFA,271247,98435,36,8.5,13.89,750,585,676,811,1086,1289,66300,19890,32656,816,497,442,722,225,23400,27040,32440,43440,51560,11.25,13,15.6,20.88,24.79,53,61,73,98,117,32,37,45,60,71
METRO,3,AR,Arkansas,Memphis HMFA,18496,7931,43,8.5,10.45,750,628,705,833,1136,1316,64200,19260,24883,622,482,442,543,225,25120,28200,33320,45440,52640,12.08,13.56,16.02,21.85,25.31,57,64,75,103,119,46,52,61,84,97
METRO,3,AR,Arkansas,Pine Bluff MSA,34942,12315,35,8.5,11.36,750,479,537,691,866,1076,47900,14370,23542,589,359,442,591,225,19160,21480,27640,34640,43040,9.21,10.33,13.29,16.65,20.69,43,49,63,78,97,32,36,47,59,73
METRO,3,AR,Arkansas,Poinsett County HMFA,9471,3581,38,8.5,11.37,750,473,476,633,859,862,43300,12990,23493,587,325,442,591,225,18920,19040,25320,34360,34480,9.1,9.15,12.17,16.52,16.58,43,43,57,78,78,32,32,43,58,58
METRO,3,AR,Arkansas,Texarkana HMFA,17003,5974,35,8.5,11.94,750,558,627,795,1022,1178,52200,15660,26321,658,392,442,621,225,22320,25080,31800,40880,47120,10.73,12.06,15.29,19.65,22.65,50,57,72,92,107,36,40,51,66,76
COUNTY,4,AR,Arkansas,Arkansas County,7685,2718,35,8.5,14.49,750,477,480,634,864,988,48800,14640,28214,705,366,442,754,225,19080,19200,25360,34560,39520,9.17,9.23,12.19,16.62,19,43,43,57,78,89,25,25,34,46,52
COUNTY,4,AR,Arkansas,Ashley County,8338,2075,25,8.5,12.89,750,483,535,633,827,862,46300,13890,22606,565,347,442,670,225,19320,21400,25320,33080,34480,9.29,10.29,12.17,15.9,16.58,44,48,57,75,78,29,32,38,49,51
COUNTY,4,AR,Arkansas,Baxter County,18061,4453,25,8.5,11.9,750,501,516,686,908,934,48700,14610,28713,718,365,442,619,225,20040,20640,27440,36320,37360,9.63,9.92,13.19,17.46,17.96,45,47,62,82,85,32,33,44,59,60
COUNTY,4,AR,Arkansas,Benton County,88014,29090,33,8.5,19.32,750,524,558,723,1039,1273,65400,19620,42508,1063,491,442,1005,225,20960,22320,28920,41560,50920,10.08,10.73,13.9,19.98,24.48,47,50,65,94,115,21,22,29,41,51
COUNTY,4,AR,Arkansas,Boone County,14883,4169,28,8.5,11.91,750,473,476,633,921,1115,48800,14640,27199,680,366,442,619,225,18920,19040,25320,36840,44600,9.1,9.15,12.17,17.71,21.44,43,43,57,83,101,31,31,41,60,72
COUNTY,4,AR,Arkansas,Bradley County,4550,1614,35,8.5,9.71,750,420,495,659,826,898,44100,13230,21436,536,331,442,505,225,16800,19800,26360,33040,35920,8.08,9.52,12.67,15.88,17.27,38,45,60,75,81,33,39,52,65,71
COUNTY,4,AR,Arkansas,Calhoun County,2079,379,18,8.5,12.94,750,493,563,646,839,941,49200,14760,17878,447,369,442,673,225,19720,22520,25840,33560,37640,9.48,10.83,12.42,16.13,18.1,45,51,58,76,85,29,33,38,50,56
COUNTY,4,AR,Arkansas,Carroll County,10874,2608,24,8.5,11.2,750,489,495,655,850,957,48000,14400,31816,795,360,442,582,225,19560,19800,26200,34000,38280,9.4,9.52,12.6,16.35,18.4,44,45,59,77,87,34,34,45,58,66
COUNTY,4,AR,Arkansas,Chicot County,4384,1482,34,8.5,8.61,750,483,551,633,921,922,36500,10950,17777,444,274,442,448,225,19320,22040,25320,36840,36880,9.29,10.6,12.17,17.71,17.73,44,50,57,83,83,43,49,57,82,82
COUNTY,4,AR,Arkansas,Clark County,8783,3239,37,8.5,9.56,750,473,476,633,862,1020,53500,16050,21176,529,401,442,497,225,18920,19040,25320,34480,40800,9.1,9.15,12.17,16.58,19.62,43,43,57,78,92,38,38,51,69,82
COUNTY,4,AR,Arkansas,Clay County,6453,1770,27,8.5,7.62,750,473,476,633,894,922,46000,13800,18127,453,345,442,396,225,18920,19040,25320,35760,36880,9.1,9.15,12.17,17.19,17.73,43,43,57,81,83,48,48,64,90,93
COUNTY,4,AR,Arkansas,Cleburne County,10360,2558,25,8.5,8.96,750,503,506,673,939,1014,55100,16530,25044,626,413,442,466,225,20120,20240,26920,37560,40560,9.67,9.73,12.94,18.06,19.5,46,46,61,85,92,43,43,58,81,87
COUNTY,4,AR,Arkansas,Cleveland County,3342,823,25,8.5,9.78,750,479,537,691,866,1076,47900,14370,27790,695,359,442,508,225,19160,21480,27640,34640,43040,9.21,10.33,13.29,16.65,20.69,43,49,63,78,97,38,42,54,68,85
COUNTY,4,AR,Arkansas,Columbia County,9518,3222,34,8.5,10.81,750,451,551,633,921,960,53700,16110,21590,540,403,442,562,225,18040,22040,25320,36840,38400,8.67,10.6,12.17,17.71,18.46,41,50,57,83,87,32,39,45,66,68
COUNTY,4,AR,Arkansas,Conway County,8360,2291,27,8.5,8.43,750,529,532,708,888,1024,51700,15510,18339,458,388,442,439,225,21160,21280,28320,35520,40960,10.17,10.23,13.62,17.08,19.69,48,48,64,80,93,48,49,65,81,93
COUNTY,4,AR,Arkansas,Craighead County,39042,16041,41,8.5,10.87,750,493,613,743,1046,1047,56200,16860,27063,677,422,442,565,225,19720,24520,29720,41840,41880,9.48,11.79,14.29,20.12,20.13,45,55,67,95,95,35,43,53,74,74
COUNTY,4,AR,Arkansas,Crawford County,23548,5557,24,8.5,10.69,750,486,524,697,944,1124,52900,15870,27330,683,397,442,556,225,19440,20960,27880,37760,44960,9.35,10.08,13.4,18.15,21.62,44,47,63,85,102,35,38,50,68,81
COUNTY,4,AR,Arkansas,Crittenden County,18496,7931,43,8.5,10.45,750,628,705,833,1136,1316,64200,19260,24883,622,482,442,543,225,25120,28200,33320,45440,52640,12.08,13.56,16.02,21.85,25.31,57,64,75,103,119,46,52,61,84,97
COUNTY,4,AR,Arkansas,Cross County,6703,2279,34,8.5,8.35,750,520,523,696,873,948,49200,14760,21564,539,369,442,434,225,20800,20920,27840,34920,37920,10,10.06,13.38,16.79,18.23,47,47,63,79,86,48,48,64,80,87
COUNTY,4,AR,Arkansas,Dallas County,3222,1060,33,8.5,11.52,750,473,476,633,883,886,49100,14730,27693,692,368,442,599,225,18920,19040,25320,35320,35440,9.1,9.15,12.17,16.98,17.04,43,43,57,80,80,32,32,42,59,59
COUNTY,4,AR,Arkansas,Desha County,5224,2299,44,8.5,12.09,750,473,476,633,854,922,39200,11760,19917,498,294,442,629,225,18920,19040,25320,34160,36880,9.1,9.15,12.17,16.42,17.73,43,43,57,77,83,30,30,40,54,59
COUNTY,4,AR,Arkansas,Drew County,7094,2641,37,8.5,8.09,750,478,481,640,849,872,48100,14430,17436,436,361,442,421,225,19120,19240,25600,33960,34880,9.19,9.25,12.31,16.33,16.77,43,44,58,77,79,45,46,61,81,83
COUNTY,4,AR,Arkansas,Faulkner County,43451,16401,38,8.5,11.19,750,585,676,811,1086,1289,66300,19890,31021,776,497,442,582,225,23400,27040,32440,43440,51560,11.25,13,15.6,20.88,24.79,53,61,73,98,117,40,46,56,75,89
COUNTY,4,AR,Arkansas,Franklin County,6779,1820,27,8.5,9.79,750,479,483,642,805,935,48200,14460,23468,587,362,442,509,225,19160,19320,25680,32200,37400,9.21,9.29,12.35,15.48,17.98,43,44,58,73,85,38,38,50,63,73
COUNTY,4,AR,Arkansas,Fulton County,5240,1178,22,8.5,5.98,750,473,476,633,859,862,45700,13710,16456,411,343,442,311,225,18920,19040,25320,34360,34480,9.1,9.15,12.17,16.52,16.58,43,43,57,78,78,61,61,81,111,111
COUNTY,4,AR,Arkansas,Garland County,40353,13585,34,8.5,9.94,750,531,580,771,967,1123,52700,15810,24708,618,395,442,517,225,21240,23200,30840,38680,44920,10.21,11.15,14.83,18.6,21.6,48,52,70,88,102,41,45,60,75,87
COUNTY,4,AR,Arkansas,Grant County,6869,1405,20,8.5,11.26,750,470,566,650,938,1050,60100,18030,30696,767,451,442,586,225,18800,22640,26000,37520,42000,9.04,10.88,12.5,18.04,20.19,43,51,59,85,95,32,39,44,64,72
COUNTY,4,AR,Arkansas,Greene County,16766,5631,34,8.5,11.41,750,514,550,673,901,1099,54900,16470,28660,716,412,442,593,225,20560,22000,26920,36040,43960,9.88,10.58,12.94,17.33,21.13,47,50,61,82,99,35,37,45,61,74
COUNTY,4,AR,Arkansas,Hempstead County,7729,2490,32,8.5,10.26,750,489,504,641,804,873,44000,13200,21809,545,330,442,533,225,19560,20160,25640,32160,34920,9.4,9.69,12.33,15.46,16.79,44,46,58,73,79,37,38,48,60,65
COUNTY,4,AR,Arkansas,Hot Spring County,12226,3305,27,8.5,9.35,750,499,554,653,856,1042,50700,15210,23955,599,380,442,486,225,19960,22160,26120,34240,41680,9.6,10.65,12.56,16.46,20.04,45,50,59,77,94,41,46,54,70,86
COUNTY,4,AR,Arkansas,Howard County,5068,1678,33,8.5,9.77,750,404,476,633,804,922,45200,13560,22511,563,339,442,508,225,16160,19040,25320,32160,36880,7.77,9.15,12.17,15.46,17.73,37,43,57,73,83,32,37,50,63,73
COUNTY,4,AR,Arkansas,Independence County,14316,4069,28,8.5,10.34,750,473,476,633,794,895,47500,14250,22576,564,356,442,538,225,18920,19040,25320,31760,35800,9.1,9.15,12.17,15.27,17.21,43,43,57,72,81,35,35,47,59,67
COUNTY,4,AR,Arkansas,Izard County,5349,1183,22,8.5,9.55,750,473,476,633,859,862,44500,13350,22824,571,334,442,497,225,18920,19040,25320,34360,34480,9.1,9.15,12.17,16.52,16.58,43,43,57,78,78,38,38,51,69,69
COUNTY,4,AR,Arkansas,Jackson County,6219,1954,31,8.5,10.12,750,404,476,633,794,975,42100,12630,18386,460,316,442,526,225,16160,19040,25320,31760,39000,7.77,9.15,12.17,15.27,18.75,37,43,57,72,88,31,36,48,60,74
COUNTY,4,AR,Arkansas,Jefferson County,27660,10379,38,8.5,11.57,750,479,537,691,866,1076,47900,14370,23485,587,359,442,602,225,19160,21480,27640,34640,43040,9.21,10.33,13.29,16.65,20.69,43,49,63,78,97,32,36,46,58,72
COUNTY,4,AR,Arkansas,Johnson County,10014,2861,29,8.5,9.84,750,486,489,651,853,923,45100,13530,22854,571,338,442,512,225,19440,19560,26040,34120,36920,9.35,9.4,12.52,16.4,17.75,44,44,59,77,84,38,38,51,67,72
COUNTY,4,AR,Arkansas,Lafayette County,2947,818,28,8.5,9.7,750,483,511,633,819,1034,42700,12810,17788,445,320,442,505,225,19320,20440,25320,32760,41360,9.29,9.83,12.17,15.75,19.88,44,46,57,74,94,38,41,50,65,82
COUNTY,4,AR,Arkansas,Lawrence County,6603,2135,32,8.5,8.98,750,494,497,633,849,971,43300,12990,19943,499,325,442,467,225,19760,19880,25320,33960,38840,9.5,9.56,12.17,16.33,18.67,45,45,57,77,88,42,43,54,73,83
COUNTY,4,AR,Arkansas,Lee County,3541,1590,45,8.5,9.73,750,473,476,633,874,1029,37200,11160,15661,392,279,442,506,225,18920,19040,25320,34960,41160,9.1,9.15,12.17,16.81,19.79,43,43,57,79,93,37,38,50,69,81
COUNTY,4,AR,Arkansas,Lincoln County,3940,1113,28,8.5,9.3,750,479,537,691,866,1076,47900,14370,20938,523,359,442,484,225,19160,21480,27640,34640,43040,9.21,10.33,13.29,16.65,20.69,43,49,63,78,97,40,44,57,72,89
COUNTY,4,AR,Arkansas,Little River County,5191,1445,28,8.5,16.44,750,450,476,633,804,918,49800,14940,21376,534,374,442,855,225,18000,19040,25320,32160,36720,8.65,9.15,12.17,15.46,17.65,41,43,57,73,83,21,22,30,38,43
COUNTY,4,AR,Arkansas,Logan County,8401,2145,26,8.5,10.07,750,483,551,633,835,908,44800,13440,24564,614,336,442,524,225,19320,22040,25320,33400,36320,9.29,10.6,12.17,16.06,17.46,44,50,57,76,82,37,42,48,64,69
COUNTY,4,AR,Arkansas,Lonoke County,25993,7936,31,8.5,9.74,750,585,676,811,1086,1289,66300,19890,34437,861,497,442,506,225,23400,27040,32440,43440,51560,11.25,13,15.6,20.88,24.79,53,61,73,98,117,46,53,64,86,102
COUNTY,4,AR,Arkansas,Madison County,6279,1538,24,8.5,10.05,750,524,558,723,1039,1273,65400,19620,25748,644,491,442,523,225,20960,22320,28920,41560,50920,10.08,10.73,13.9,19.98,24.48,47,50,65,94,115,40,43,55,80,97
COUNTY,4,AR,Arkansas,Marion County,6667,1402,21,8.5,8.3,750,440,504,633,801,1115,45600,13680,20506,513,342,442,432,225,17600,20160,25320,32040,44600,8.46,9.69,12.17,15.4,21.44,40,46,57,72,101,41,47,59,74,103
COUNTY,4,AR,Arkansas,Miller County,17003,5974,35,8.5,11.94,750,558,627,795,1022,1178,52200,15660,26321,658,392,442,621,225,22320,25080,31800,40880,47120,10.73,12.06,15.29,19.65,22.65,50,57,72,92,107,36,40,51,66,76
COUNTY,4,AR,Arkansas,Mississippi County,16835,7279,43,8.5,15,750,486,489,651,840,887,44300,13290,24472,612,332,442,780,225,19440,19560,26040,33600,35480,9.35,9.4,12.52,16.15,17.06,44,44,59,76,80,25,25,33,43,45
COUNTY,4,AR,Arkansas,Monroe County,3306,1193,36,8.5,7.9,750,483,495,633,798,1115,38100,11430,17955,449,286,442,411,225,19320,19800,25320,31920,44600,9.29,9.52,12.17,15.35,21.44,44,45,57,72,101,47,48,62,78,109
COUNTY,4,AR,Arkansas,Montgomery County,3735,751,20,8.5,8.93,750,473,476,633,794,922,44200,13260,26860,671,332,442,465,225,18920,19040,25320,31760,36880,9.1,9.15,12.17,15.27,17.73,43,43,57,72,83,41,41,55,68,79
COUNTY,4,AR,Arkansas,Nevada County,3509,997,28,8.5,12.25,750,480,483,643,828,876,45000,13500,20991,525,338,442,637,225,19200,19320,25720,33120,35040,9.23,9.29,12.37,15.92,16.85,43,44,58,75,79,30,30,40,52,55
COUNTY,4,AR,Arkansas,Newton County †,3243,483,15,8.5,,750,478,481,633,921,922,45000,13500,20373,509,338,442,,225,19120,19240,25320,36840,36880,9.19,9.25,12.17,17.71,17.73,43,44,57,83,83,,,,,
COUNTY,4,AR,Arkansas,Ouachita County,10313,3332,32,8.5,10.42,750,517,521,633,845,974,45000,13500,20787,520,338,442,542,225,20680,20840,25320,33800,38960,9.94,10.02,12.17,16.25,18.73,47,47,57,76,88,38,38,47,62,72
COUNTY,4,AR,Arkansas,Perry County,3730,764,20,8.5,8.76,750,585,676,811,1086,1289,66300,19890,25164,629,497,442,456,225,23400,27040,32440,43440,51560,11.25,13,15.6,20.88,24.79,53,61,73,98,117,51,59,71,95,113
COUNTY,4,AR,Arkansas,Phillips County,7953,4070,51,8.5,10.76,750,473,476,633,918,1115,33400,10020,19530,488,251,442,559,225,18920,19040,25320,36720,44600,9.1,9.15,12.17,17.65,21.44,43,43,57,83,101,34,34,45,66,80
COUNTY,4,AR,Arkansas,Pike County,4298,1073,25,8.5,8.89,750,536,551,633,794,917,46100,13830,22005,550,346,442,462,225,21440,22040,25320,31760,36680,10.31,10.6,12.17,15.27,17.63,49,50,57,72,83,46,48,55,69,79
COUNTY,4,AR,Arkansas,Poinsett County,9471,3581,38,8.5,11.37,750,473,476,633,859,862,43300,12990,23493,587,325,442,591,225,18920,19040,25320,34360,34480,9.1,9.15,12.17,16.52,16.58,43,43,57,78,78,32,32,43,58,58
COUNTY,4,AR,Arkansas,Polk County,7925,1822,23,8.5,10.98,750,473,476,633,794,1028,44800,13440,25441,636,336,442,571,225,18920,19040,25320,31760,41120,9.1,9.15,12.17,15.27,19.77,43,43,57,72,93,33,33,44,56,72
COUNTY,4,AR,Arkansas,Pope County,22919,7537,33,8.5,12.04,750,488,492,654,951,1055,51800,15540,26212,655,389,442,626,225,19520,19680,26160,38040,42200,9.38,9.46,12.58,18.29,20.29,44,45,59,86,95,31,31,42,61,67
COUNTY,4,AR,Arkansas,Prairie County,3846,1177,31,8.5,10.08,750,473,476,633,852,969,45200,13560,24594,615,339,442,524,225,18920,19040,25320,34080,38760,9.1,9.15,12.17,16.38,18.63,43,43,57,77,88,36,36,48,65,74
COUNTY,4,AR,Arkansas,Pulaski County,155440,63790,41,8.5,14.89,750,585,676,811,1086,1289,66300,19890,31881,797,497,442,774,225,23400,27040,32440,43440,51560,11.25,13,15.6,20.88,24.79,53,61,73,98,117,30,35,42,56,67
COUNTY,4,AR,Arkansas,Randolph County,7318,2032,28,8.5,8.22,750,473,476,633,794,922,48300,14490,21142,529,362,442,428,225,18920,19040,25320,31760,36880,9.1,9.15,12.17,15.27,17.73,43,43,57,72,83,44,45,59,74,86
COUNTY,4,AR,Arkansas,St. Francis County,9308,3924,42,8.5,9.69,750,473,476,633,921,1115,39400,11820,23423,586,296,442,504,225,18920,19040,25320,36840,44600,9.1,9.15,12.17,17.71,21.44,43,43,57,83,101,38,38,50,73,89
COUNTY,4,AR,Arkansas,Saline County,42633,9544,22,8.5,11.01,750,585,676,811,1086,1289,66300,19890,39768,994,497,442,572,225,23400,27040,32440,43440,51560,11.25,13,15.6,20.88,24.79,53,61,73,98,117,41,47,57,76,90
COUNTY,4,AR,Arkansas,Scott County,3965,1087,27,8.5,7.69,750,473,476,633,794,922,43200,12960,22086,552,324,442,400,225,18920,19040,25320,31760,36880,9.1,9.15,12.17,15.27,17.73,43,43,57,72,83,47,48,63,79,92
COUNTY,4,AR,Arkansas,Searcy County,3194,644,20,8.5,5.56,750,483,508,633,856,922,43000,12900,16304,408,323,442,289,225,19320,20320,25320,34240,36880,9.29,9.77,12.17,16.46,17.73,44,46,57,77,83,67,70,88,118,128
COUNTY,4,AR,Arkansas,Sebastian County,50437,20339,40,8.5,12.39,750,486,524,697,944,1124,52900,15870,25658,641,397,442,644,225,19440,20960,27880,37760,44960,9.35,10.08,13.4,18.15,21.62,44,47,63,85,102,30,33,43,59,70
COUNTY,4,AR,Arkansas,Sevier County,6005,1547,26,8.5,9.81,750,411,476,633,794,922,48800,14640,25478,637,366,442,510,225,16440,19040,25320,31760,36880,7.9,9.15,12.17,15.27,17.73,37,43,57,72,83,32,37,50,62,72
COUNTY,4,AR,Arkansas,Sharp County,7320,1793,24,8.5,9.66,750,404,476,633,836,935,40900,12270,21515,538,307,442,502,225,16160,19040,25320,33440,37400,7.77,9.15,12.17,16.08,17.98,37,43,57,76,85,32,38,50,67,74
COUNTY,4,AR,Arkansas,Stone County,4966,1204,24,8.5,7.84,750,473,476,633,794,862,41300,12390,18462,462,310,442,408,225,18920,19040,25320,31760,34480,9.1,9.15,12.17,15.27,16.58,43,43,57,72,78,46,47,62,78,85
COUNTY,4,AR,Arkansas,Union County,16383,4673,29,8.5,15.18,750,537,549,634,795,1064,51800,15540,26343,659,389,442,789,225,21480,21960,25360,31800,42560,10.33,10.56,12.19,15.29,20.46,49,50,57,72,96,27,28,32,40,54
COUNTY,4,AR,Arkansas,Van Buren County,6825,1473,22,8.5,10.72,750,473,476,633,830,883,47200,14160,21157,529,354,442,558,225,18920,19040,25320,33200,35320,9.1,9.15,12.17,15.96,16.98,43,43,57,75,80,34,34,45,60,63
